Time,GEMS_GEMS_SPENT
05/01/2017,1199436
05/02/2017,1045515
05/03/2017,586111
05/04/2017,856601
05/05/2017,793775
05/06/2017,606535
05/07/2017,1112763
05/08/2017,1121218
05/09/2017,813844
05/10/2017,903343
05/11/2017,863465
05/12/2017,639224
5/13/17,1030389
5/14/17,1132645
5/15/17,1018672
5/16/17,1726870
5/17/17,1378430
5/18/17,532950
5/19/17,828238
5/20/17,823948
5/21/17,592549
5/22/17,939337
5/23/17,862611
5/24/17,551557
5/25/17,878375
5/26/17,784535
5/27/17,613603
5/28/17,1054658
5/29/17,1026401
5/30/17,682284
5/31/17,986644
06/01/2017,924769
06/02/2017,633489
06/03/2017,1044957
06/04/2017,1088685
06/05/2017,798582
06/06/2017,1139786
06/07/2017,1066560
06/08/2017,754706
06/09/2017,1199406
06/10/2017,1186341
06/11/2017,958210
06/12/2017,1564553
6/13/17,1470865
6/14/17,1201275
6/15/17,2418723
6/16/17,2123070
6/17/17,978338
6/18/17,1536623
6/19/17,1420586
6/20/17,966259
6/21/17,1232735
6/22/17,1090762
6/23/17,763828
6/24/17,1153383
6/25/17,1074039
6/26/17,733943
6/27/17,1103070
6/28/17,1123779
6/29/17,752524
6/30/17,1123866
07/01/2017,1051964
07/02/2017,756827
07/03/2017,1109486
07/04/2017,1059961
07/05/2017,691291
07/06/2017,985221
07/07/2017,932805
07/08/2017,641340
07/09/2017,1038572
07/10/2017,1037868
07/11/2017,732303
07/12/2017,962492
7/13/17,875898
7/14/17,1029902
7/15/17,1917268
7/16/17,1662445
7/17/17,791812
7/18/17,1061339
7/19/17,968767
7/20/17,685321
7/21/17,1020324
7/22/17,995864
7/23/17,785353
7/24/17,1192613
7/25/17,1068292
7/26/17,710820
7/27/17,1048429
7/28/17,991163
7/29/17,701672
7/30/17,1239717
7/31/17,1261953
08/01/2017,857930
08/02/2017,1208488
08/03/2017,1165563
08/04/2017,821228
08/05/2017,1304837
08/06/2017,1385061
08/07/2017,1143864
08/08/2017,1420747
08/09/2017,1082965
08/10/2017,896817
08/11/2017,1309864
08/12/2017,1389726
8/13/17,1336787
8/14/17,2426361
8/15/17,1893231
8/16/17,795571
8/17/17,1228308
8/18/17,1171824
8/19/17,832872
8/20/17,1647205
8/21/17,1675743
8/22/17,1269681
8/23/17,1904623
8/24/17,1594601
8/25/17,1162089
8/26/17,1754296
8/27/17,1746942
8/28/17,1325245
8/29/17,1614025
8/30/17,1372725
8/31/17,990184
09/01/2017,1492608
09/02/2017,1426323
09/03/2017,1228686
09/04/2017,1735632
09/05/2017,1470880
09/06/2017,1022235
09/07/2017,1466472
09/08/2017,1381460
09/09/2017,1123100
09/10/2017,1908051
09/11/2017,1925878
09/12/2017,1539409
9/13/17,2566462
9/14/17,2046640
9/15/17,949784
9/16/17,1260130
9/17/17,1025393
9/18/17,795070
9/19/17,1005711
9/20/17,934316
9/21/17,672780
9/22/17,977338
9/23/17,952165
9/24/17,799347
9/25/17,1128242
9/26/17,1004572
9/27/17,722362
9/28/17,1017760
9/29/17,969319
9/30/17,732678
10/01/2017,1212104
10/02/2017,1190644
10/03/2017,845058
10/04/2017,1125893
10/05/2017,1085597
10/06/2017,814176
10/07/2017,1241656
10/08/2017,1458628
10/09/2017,1228912
10/10/2017,1489464
10/11/2017,1445240
10/12/2017,1269546
10/13/17,2209056
10/14/17,1872115
10/15/17,1028471
10/16/17,1434433
10/17/17,1274497
10/18/17,918567
10/19/17,1286976
10/20/17,1211880
10/21/17,977253
10/22/17,1491771
10/23/17,1411582
10/24/17,1016348
10/25/17,1447929
10/26/17,1387572
10/27/17,1057798
10/28/17,1505543
10/29/17,1440709
10/30/17,1134088
10/31/17,1434024
11/01/2017,1306378
11/02/2017,965258
11/03/2017,1316822
11/04/2017,985845
11/05/2017,931888
11/06/2017,1290728
11/07/2017,1210535
11/08/2017,954986
11/09/2017,1363671
11/10/2017,1413365
11/11/2017,1298822
11/12/2017,2328862
11/13/17,1880710
11/14/17,898547
11/15/17,1276048
11/16/17,1206946
11/17/17,906266
11/18/17,1365544
11/19/17,1286705
11/20/17,970724
11/21/17,1308139
11/22/17,1223100
11/23/17,925962
11/24/17,1386423
11/25/17,1319390
11/26/17,995244
11/27/17,1365656
11/28/17,1305871
11/29/17,981010
11/30/17,1425631
12/01/2017,1334807
12/02/2017,1021410
12/03/2017,1763160
12/04/2017,1765830
12/05/2017,1597298
12/06/2017,1627717
12/07/2017,1589619
12/08/2017,1283460
12/09/2017,1907036
12/10/2017,1940908
12/11/2017,1677208
12/12/2017,2984329
12/13/17,2524946
12/14/17,1342763
12/15/17,1904900
12/16/17,1815581
12/17/17,1415851
12/18/17,1826552
12/19/17,1708774
12/20/17,1241392
12/21/17,1737367
12/22/17,1913008
12/23/17,1364683
12/24/17,1478238
12/25/17,1342886
12/26/17,1024933
12/27/17,1430514
12/28/17,1372474
12/29/17,1026572
12/30/17,1417844
12/31/17,1679457
01/01/2018,1351801
01/02/2018,2023723
01/03/2018,1543211
01/04/2018,1180192
01/05/2018,1673992
01/06/2018,1707847
01/07/2018,1451361
01/08/2018,1998262
01/09/2018,2162133
01/10/2018,2330069
01/11/2018,2995029
01/12/2018,2421592
1/13/18,1152460
1/14/18,2203248
1/15/18,2135716
1/16/18,1871435
1/17/18,1764628
1/18/18,1985953
1/19/18,1492338
1/20/18,2209397
1/21/18,2136402
1/22/18,1592552
1/23/18,2035135
1/24/18,1806885
1/25/18,1308255
1/26/18,1875120
1/27/18,1722011
1/28/18,1388952
1/29/18,1918963
1/30/18,1783279
1/31/18,1343029
02/01/2018,1930747
02/02/2018,1826320
02/03/2018,1455626
02/04/2018,2294555
02/05/2018,2172449
02/06/2018,1612939
02/07/2018,2117962
02/08/2018,2164330
02/09/2018,1819026
02/10/2018,3242154
02/11/2018,2894633
02/12/2018,1405753
2/13/18,1842610
2/14/18,1707899
2/15/18,1324588
2/16/18,2090271
2/17/18,2119260
2/18/18,1716590
2/19/18,2398088
2/20/18,2166449
2/21/18,1552313
2/22/18,2175548
2/23/18,2122606
2/24/18,1756394
